variant,family,calibration_samples,test_samples,group_q,q_used
PV+loading+EV,pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.0,273,375,0.00021756756743530477,0.0002299477143390687
PV+loading+EV,pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.1,207,441,0.00010361208171943189,0.00015577280929823074
PV+loading+EV,pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.2,411,102,0.00012043675070125208,0.00014848151874138755
PV+loading+EV,pv_bin=0.2|load_bin=high_load|ev_bin=ev_0.3,411,171,0.00019385720841857387,0.00020753398081931173
PV+loading+EV,pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.0,342,513,5.486206104090875e-05,0.00010212076111906158
PV+loading+EV,pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.1,102,168,0.00010326902339977058,0.000182712831313916
PV+loading+EV,pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.2,240,171,5.866410749092166e-05,0.00011898216863663419
PV+loading+EV,pv_bin=0.2|load_bin=low_load|ev_bin=ev_0.3,135,102,7.403215841193461e-05,0.00015476124648615148
PV+loading+EV,pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.0,132,99,0.0003023910530067455,0.00028573349368760705
PV+loading+EV,pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.1,171,66,0.00019245897955863397,0.00021876397432900676
PV+loading+EV,pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.2,33,135,0.0005541792719293243,0.00033580802640828674
PV+loading+EV,pv_bin=0.4|load_bin=high_load|ev_bin=ev_0.3,171,240,0.0004323413185208784,0.0003701288450395005
PV+loading+EV,pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.0,339,135,9.631591233374259e-05,0.00013445477407693205
PV+loading+EV,pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.1,66,303,0.00039203225848807426,0.0003147510879448634
PV+loading+EV,pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.2,171,303,7.6938014805102e-05,0.0001458706718461508
PV+loading+EV,pv_bin=0.4|load_bin=low_load|ev_bin=ev_0.3,135,171,0.00017280426508890667,0.000211502669470795
PV+loading+EV,pv_bin=0.6|load_bin=high_load|ev_bin=ev_0.0,267,102,0.00034140778729598275,0.0003202464053042557
PV+loading+EV,pv_bin=0.6|load_bin=high_load|ev_bin=ev_0.1,306,66,0.00037452950467987387,0.00034724280780954635
PV+loading+EV,pv_bin=0.6|load_bin=high_load|ev_bin=ev_0.2,102,33,0.0002786394700242294,0.00027126622515398924
PV+loading+EV,pv_bin=0.6|load_bin=high_load|ev_bin=ev_0.3,66,33,0.0002277427377913347,0.0002494311580292923
PV+loading+EV,pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.0,207,543,0.000261593746222987,0.0002622946482305952
PV+loading+EV,pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.1,168,138,0.00011615152442134464,0.00017122390910977734
PV+loading+EV,pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.2,237,306,0.00017436545732979066,0.000200887729750133
PV+loading+EV,pv_bin=0.6|load_bin=low_load|ev_bin=ev_0.3,240,171,0.00022437110890890415,0.00023595181669638655
PV+loading+EV,pv_bin=0.8|load_bin=high_load|ev_bin=ev_0.0,33,102,0.00015260017303112127,0.00023616809961399574
PV+loading+EV,pv_bin=0.8|load_bin=high_load|ev_bin=ev_0.1,171,69,0.00018434113635745964,0.00021364164522420673
PV+loading+EV,pv_bin=0.8|load_bin=high_load|ev_bin=ev_0.2,135,69,0.0004680266088659311,0.00038109848398100053
PV+loading+EV,pv_bin=0.8|load_bin=high_load|ev_bin=ev_0.3,375,135,0.0004538889209383184,0.00041385873029579754
PV+loading+EV,pv_bin=0.8|load_bin=low_load|ev_bin=ev_0.0,33,309,0.00034426591093257277,0.0002837242601459348
PV+loading+EV,pv_bin=0.8|load_bin=low_load|ev_bin=ev_0.1,168,207,0.00021448321690064112,0.0002328646715594856
PV+loading+EV,pv_bin=0.8|load_bin=low_load|ev_bin=ev_0.2,69,171,0.00021136331054607388,0.00024235869802552386
PV+loading+EV,pv_bin=0.8|load_bin=low_load|ev_bin=ev_0.3,204,171,0.00018466974345888724,0.00021068151054028756
EV-only,ev_bin=ev_0.0,1626,2178,0.00025065749527996997,0.00025141578149702525
EV-only,ev_bin=ev_0.1,1359,1458,0.00025523929193658156,0.00025582230930805265
EV-only,ev_bin=ev_0.2,1398,1290,0.0002067052559111039,0.00021051301689075947
EV-only,ev_bin=ev_0.3,1737,1194,0.00035493205518236787,0.0003499681716877558
