feeder,scenario_id,bus,vm_pu,voltage_violation,pv_bin,load_bin,method,conformal_variant,y_pred,lower,upper,q_used,risk_flag
69,210,29,1.0003001360357109,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0003043113019428,0.9979350173311181,1.0026736052727674,0.002369293970824655,False
69,210,30,1.0003619618519528,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0003663659847009,0.9979970720138762,1.0027356599555255,0.002369293970824655,False
69,210,31,1.0006711084079845,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0006765816757925,0.9983072877049679,1.0030458756466172,0.002369293970824655,False
69,210,32,1.001409424555188,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0014169487447975,0.9990476547739728,1.0037862427156221,0.002369293970824655,False
69,210,33,1.0030990969293352,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0031083342019302,1.0007390402311056,1.0054776281727549,0.002369293970824655,False
69,210,34,1.0030317807495577,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0030410210722336,1.000671727101409,1.0054103150430582,0.002369293970824655,False
69,210,35,0.999954636068137,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9999571268854115,0.9975878329145869,1.0023264208562361,0.002369293970824655,False
69,210,36,1.0000853083688148,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0000894917019234,0.9977201977310988,1.002458785672748,0.002369293970824655,False
69,210,37,1.0004261240305228,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0004315975943887,0.9980623036235641,1.0028008915652133,0.002369293970824655,False
69,210,38,1.0005245776934164,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0005303471778977,0.998161053207073,1.0028996411487223,0.002369293970824655,False
69,210,39,1.000528762859489,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.000534548819283,0.9981652548484583,1.0029038427901076,0.002369293970824655,False
69,210,40,1.0015572890116666,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0015675302240925,0.9991982362532679,1.0039368241949171,0.002369293970824655,False
69,210,41,1.0020006394420675,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0020114370668112,0.9996421430959865,1.0043807310376358,0.002369293970824655,False
69,210,42,1.00205936310915,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0020701741978184,0.9997008802269938,1.004439468168643,0.002369293970824655,False
69,210,43,1.0020619680916123,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0020727807573584,0.9997034867865338,1.004442074728183,0.002369293970824655,False
69,210,44,1.002092815370238,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.002103636829543,0.9997343428587184,1.0044729308003677,0.002369293970824655,False
69,210,45,1.002092398105668,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,1.0021032195695765,0.9997339255987518,1.0044725135404011,0.002369293970824655,False
69,210,46,0.999821200715854,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9998272967394396,0.997458002768615,1.0021965907102643,0.002369293970824655,False
69,210,47,0.9986754238127872,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9986871077814483,0.9963178138106237,1.001056401752273,0.002369293970824655,False
69,210,48,0.9951701979475208,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9951908267305318,0.9928215327597072,0.9975601207013565,0.002369293970824655,False
69,210,49,0.9946240471461114,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9946448968839429,0.9922756029131182,0.9970141908547675,0.002369293970824655,False
69,210,50,0.9849853277195308,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9860631232519362,0.9836938292811116,0.9884324172227609,0.002369293970824655,False
69,210,51,0.9849757841149396,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9860535901298899,0.9836842961590653,0.9884228841007145,0.002369293970824655,False
69,210,52,0.9816961794228968,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9830061245125286,0.9806368305417039,0.9853754184833532,0.002369293970824655,False
69,210,53,0.9787203948024866,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9802306768254799,0.9778613828546553,0.9825999707963046,0.002369293970824655,False
69,210,54,0.9746208439810224,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9763979535784779,0.9740286596076533,0.9787672475493026,0.002369293970824655,False
69,210,55,0.9702788989757112,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9723041431007529,0.9699348491299282,0.9746734370715775,0.002369293970824655,False
69,210,56,0.9479425602662772,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9509922834792868,0.9486229895084621,0.9533615774501114,0.002369293970824655,True
69,210,57,0.9369504255975264,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9403105679675042,0.9379412739966796,0.9426798619383289,0.002369293970824655,True
69,210,58,0.9326987845491932,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.936143315609427,0.9337740216386023,0.9385126095802516,0.002369293970824655,True
69,210,59,0.9277049121719247,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9312269963922846,0.9288577024214599,0.9335962903631092,0.002369293970824655,True
69,210,60,0.9203528392754954,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9239369023726305,0.9215676084018058,0.9263061963434551,0.002369293970824655,True
69,210,61,0.9200649994690898,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9236509106295429,0.9212816166587182,0.9260202046003675,0.002369293970824655,True
69,210,62,0.9196796453144114,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.923267991464869,0.9208986974940444,0.9256372854356937,0.002369293970824655,True
69,210,63,0.9177910728759776,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9213889994184329,0.9190197054476082,0.9237582933892575,0.002369293970824655,True
69,210,64,0.9172202883168072,True,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9208206258811591,0.9184513319103345,0.9231899198519837,0.002369293970824655,True
69,210,65,0.9844943815180618,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9856628390182016,0.983293545047377,0.9880321329890263,0.002369293970824655,False
69,210,66,0.9844937282927514,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9856621865675027,0.9832928925966781,0.9880314805383273,0.002369293970824655,False
69,210,67,0.9834465670250012,False,0.6,high_load,LinDistFlow physical backbone + global quantile,global,0.9846355861554438,0.9822662921846191,0.9870048801262684,0.002369293970824655,False
