policy,cost_weight,top_k_candidates,runs,test_scenarios_mean,test_scenarios_std,test_scenarios_ci95,test_scenarios_max,candidate_grid_size_mean,candidate_grid_size_std,candidate_grid_size_ci95,candidate_grid_size_max,candidate_ac_audits_mean,candidate_ac_audits_std,candidate_ac_audits_ci95,candidate_ac_audits_max,candidate_ac_audits_avoided_mean,candidate_ac_audits_avoided_std,candidate_ac_audits_avoided_ci95,candidate_ac_audits_avoided_max,audit_reduction_ratio_mean,audit_reduction_ratio_std,audit_reduction_ratio_ci95,audit_reduction_ratio_max,full_best_in_subset_rate_mean,full_best_in_subset_rate_std,full_best_in_subset_rate_ci95,full_best_in_subset_rate_max,same_action_as_full_rate_mean,same_action_as_full_rate_std,same_action_as_full_rate_ci95,same_action_as_full_rate_max,post_action_violating_scenarios_mean,post_action_violating_scenarios_std,post_action_violating_scenarios_ci95,post_action_violating_scenarios_max,full_post_action_violating_scenarios_mean,full_post_action_violating_scenarios_std,full_post_action_violating_scenarios_ci95,full_post_action_violating_scenarios_max,extra_violating_scenarios_vs_full_mean,extra_violating_scenarios_vs_full_std,extra_violating_scenarios_vs_full_ci95,extra_violating_scenarios_vs_full_max,post_action_violating_buses_mean,post_action_violating_buses_std,post_action_violating_buses_ci95,post_action_violating_buses_max,full_post_action_violating_buses_mean,full_post_action_violating_buses_std,full_post_action_violating_buses_ci95,full_post_action_violating_buses_max,extra_violating_buses_vs_full_mean,extra_violating_buses_vs_full_std,extra_violating_buses_vs_full_ci95,extra_violating_buses_vs_full_max,action_cost_proxy_mw_mean,action_cost_proxy_mw_std,action_cost_proxy_mw_ci95,action_cost_proxy_mw_max,full_action_cost_proxy_mw_mean,full_action_cost_proxy_mw_std,full_action_cost_proxy_mw_ci95,full_action_cost_proxy_mw_max,action_cost_delta_vs_full_mw_mean,action_cost_delta_vs_full_mw_std,action_cost_delta_vs_full_mw_ci95,action_cost_delta_vs_full_mw_max,accepted_pv_mw_mean,accepted_pv_mw_std,accepted_pv_mw_ci95,accepted_pv_mw_max,curtailed_pv_mw_mean,curtailed_pv_mw_std,curtailed_pv_mw_ci95,curtailed_pv_mw_max,relieved_load_mw_mean,relieved_load_mw_std,relieved_load_mw_ci95,relieved_load_mw_max
VoltGuard risk-cost candidate screening,0.1,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.8666666666666667,0.05833333333333331,0.0660103807773472,0.9083333333333333,0.8666666666666667,0.05833333333333331,0.0660103807773472,0.9083333333333333,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,67.7727944627834,2.3774408101307336,2.690327539754307,70.30578330848364,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,8.81070481074912,2.1371757129461897,2.4184419874230256,10.606751006494449,220.7012027460313,26.978981274176714,30.52959131817129,238.83670305476696,1.81587375683805,0.9754891972264292,1.1038699431960917,2.901368717703734,65.95692070594535,1.7196004861039471,1.9459111349594216,67.40441459077991
VoltGuard risk-cost candidate screening,0.15,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.9111111111111111,0.04194352464039301,0.04746356627410951,0.95,0.9111111111111111,0.04194352464039301,0.04746356627410951,0.95,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,66.17235942629385,2.00793576821278,2.2721932223345283,68.05073075182541,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,7.210269774259577,1.9891618191778955,2.250948499057604,8.365713070293737,222.30163778252083,26.98314629066376,30.534304478015642,239.84934000057135,0.21543872034849912,0.37315080956122343,0.4222598918830583,0.6463161610454974,65.95692070594535,1.7196004861039471,1.9459111349594216,67.40441459077991
VoltGuard risk-cost candidate screening,0.2,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.9166666666666666,0.033333333333333326,0.03772021758705554,0.95,0.9166666666666666,0.033333333333333326,0.03772021758705554,0.95,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,65.07776803819807,2.4062261017116247,2.7229011636064486,67.30311690927071,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,6.115678386163798,2.3708302565722987,2.6828469941964554,7.604084607281521,222.4203299261362,27.073006161126393,30.635990494001494,239.84934000057135,0.09674657673314034,0.16756998636016007,0.18962329039695508,0.290239730199421,64.98102146146493,2.27422934132584,2.5735327679303017,67.0128771790713
VoltGuard risk-cost candidate screening,0.3,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.9361111111111112,0.012729376930432844,0.014404646026907166,0.95,0.9361111111111112,0.012729376930432844,0.014404646026907166,0.95,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,63.26078479258018,1.0878033684041288,1.2309653924440707,64.17502252891379,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,4.298695140545912,1.3040656679997809,1.4756892223428202,5.50504261885866,222.50058441789477,27.13447951787492,30.705554145772325,239.84934000057135,0.016492084974564,0.02856512909868813,0.03232448655014545,0.049476254923692,63.24429270760562,1.0671921455895819,1.207641598165071,64.1255462739901
VoltGuard risk-cost candidate screening,0.5,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.9916666666666667,0.014433756729740658,0.01633333333333335,1.0,0.9916666666666667,0.014433756729740658,0.01633333333333335,1.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.0,0.0,0.0,0.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,0.0,0.0,0.0,0.0,59.45238868593151,0.28349872536841286,0.3208090081964831,59.69903230198919,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,0.4902990338972373,0.8492228376119502,0.9609861064385851,1.4708971016917118,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,59.45238868593151,0.28349872536841286,0.3208090081964831,59.69903230198919
VoltGuard risk-cost candidate screening,0.8,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.9861111111111112,0.009622504486493794,0.010888888888888924,0.9916666666666667,0.9861111111111112,0.009622504486493794,0.010888888888888924,0.9916666666666667,50.333333333333336,2.8867513459481287,3.2666666666666666,52.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,0.6666666666666666,0.5773502691896258,0.6533333333333334,1.0,384.0,32.96968304366907,37.3087085455036,405.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,2.6666666666666665,1.5275252316519465,1.7285575232288657,4.0,58.329933750122734,0.7060503563212106,0.7989711920356249,58.77158911855894,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,-0.6321559019115384,0.32521394648227686,0.36801422470969564,-0.371073032260405,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,58.329933750122734,0.7060503563212106,0.7989711920356249,58.77158911855894
VoltGuard risk-cost candidate screening,1.0,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.9527777777777778,0.004811252243246928,0.005444444444444498,0.9583333333333334,0.9527777777777778,0.004811252243246928,0.005444444444444498,0.9583333333333334,53.333333333333336,2.8867513459481287,3.2666666666666666,55.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,3.6666666666666665,0.5773502691896258,0.6533333333333334,4.0,394.6666666666667,34.78984526170436,39.36841599274445,420.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,13.333333333333334,2.516611478423583,2.8478139764465733,16.0,56.956040475429575,0.4247394644576712,0.48063795051458413,57.4011784804984,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,-2.0060491766047,0.6881847136668245,0.7787543141879444,-1.4894081901682625,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,56.956040475429575,0.4247394644576712,0.48063795051458413,57.4011784804984
VoltGuard risk-cost candidate screening,1.5,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.6499999999999999,0.0381881307912987,0.04321393808072169,0.6833333333333333,0.6499999999999999,0.0381881307912987,0.04321393808072169,0.6833333333333333,66.66666666666667,1.5275252316519468,1.728557523228866,68.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,17.0,2.0,2.263213055223333,19.0,547.6666666666666,59.61822987420319,67.4643780903012,605.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,166.33333333333334,35.27510926040249,39.91754390128621,207.0,35.73831873593538,3.4022483848734546,3.850006480879051,38.09458909616148,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,-23.223770916098896,3.5593258966388395,4.027756418533759,-20.762023124323505,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,35.73831873593538,3.4022483848734546,3.850006480879051,38.09458909616148
VoltGuard risk-cost candidate screening,2.0,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.49444444444444446,0.03367876570272819,0.03811111111111114,0.525,0.49444444444444446,0.03367876570272819,0.03811111111111114,0.525,71.33333333333333,1.1547005383792517,1.3066666666666669,72.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,21.666666666666668,2.081665999466133,2.3556268333031403,24.0,652.6666666666666,76.25177593560254,86.28700739071002,722.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,271.3333333333333,48.33563212924119,54.69691683368553,324.0,21.44007374023575,4.35672205233258,4.930095113409244,25.638480220465656,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,-37.522015911798526,4.912487161412018,5.559002538662345,-32.40609428282863,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,21.44007374023575,4.35672205233258,4.930095113409244,25.638480220465656
VoltGuard risk-cost candidate screening,3.0,2,3,120.0,0.0,0.0,120.0,9.0,0.0,0.0,9.0,240.0,0.0,0.0,240.0,840.0,0.0,0.0,840.0,0.7777777777777778,0.0,0.0,0.7777777777777778,0.4361111111111111,0.01924500897298752,0.021777777777777774,0.4583333333333333,0.4361111111111111,0.01924500897298752,0.021777777777777774,0.4583333333333333,75.0,2.0,2.263213055223333,77.0,49.666666666666664,3.214550253664318,3.6376060503822805,52.0,25.333333333333332,1.5275252316519465,1.7285575232288657,27.0,720.3333333333334,81.94103571064582,92.7250108894275,792.0,381.3333333333333,34.19551627528576,38.69586943216435,404.0,339.0,52.67826876426369,59.61107279692256,394.0,13.56320740668614,1.7182550907862641,1.944388676835713,15.152738870984294,58.96208965203427,0.8418803195251168,0.9526772650424177,59.69903230198919,-45.398882245348126,2.297099268319512,2.599412526602343,-42.89183563230999,222.51707650286934,27.1471830486408,30.719929544110713,239.84934000057135,0.0,0.0,0.0,0.0,13.56320740668614,1.7182550907862641,1.944388676835713,15.152738870984294
