experiment,comparison,metric,split_name,seed,delta,baseline_value,primary_value
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_capture_under_budget,random_interpolation,42,0.1696740836620503,0.2016855789657652,0.3713596626278155
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_reduction_ratio,random_interpolation,7,0.1093444885768368,0.1206447406569184,0.2299892292337552
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_reduction_ratio,random_interpolation,17,0.0839722846717505,0.1144189113315669,0.1983911960033174
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,severity_reduction_ratio,random_interpolation,42,0.0495120451970551,0.1133380788477096,0.1628501240447647
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_scenarios,random_interpolation,7,3.4565000000000055,84.5435,88.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_scenarios,random_interpolation,17,0.7729999999999961,83.227,84.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_scenarios,random_interpolation,42,3.364999999999995,83.635,87.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_buses,random_interpolation,7,-133.72749999999996,815.7275,682.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_buses,random_interpolation,17,-124.73450000000003,781.7345,657.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,post_policy_violating_buses,random_interpolation,42,-87.2695,703.2695,616.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,action_cost_proxy_mw,random_interpolation,7,8.793101515678073,11.84587298106087,20.638974496738943
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,action_cost_proxy_mw,random_interpolation,17,7.666973693793201,11.974160361814002,19.641134055607203
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus random,action_cost_proxy_mw,random_interpolation,42,3.7573177199029253,11.693364244107782,15.450681964010707
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_capture_under_budget,random_interpolation,7,-0.1867140788855438,0.5258585852287697,0.3391445063432259
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_capture_under_budget,random_interpolation,17,-0.2064845616710892,0.5174289177809974,0.3109443561099082
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_capture_under_budget,random_interpolation,42,-0.1778824365474445,0.54924209917526,0.3713596626278155
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_reduction_ratio,random_interpolation,7,0.015833313172302105,0.2141559160614531,0.2299892292337552
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_reduction_ratio,random_interpolation,17,0.023307847811652793,0.1750833481916646,0.1983911960033174
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,severity_reduction_ratio,random_interpolation,42,-0.010906874920239285,0.173756998965004,0.1628501240447647
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_scenarios,random_interpolation,7,-5.0,93.0,88.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_scenarios,random_interpolation,17,-7.0,91.0,84.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_scenarios,random_interpolation,42,-6.0,93.0,87.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_buses,random_interpolation,7,-157.0,839.0,682.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_buses,random_interpolation,17,-155.0,812.0,657.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,post_policy_violating_buses,random_interpolation,42,-147.0,763.0,616.0
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,action_cost_proxy_mw,random_interpolation,7,2.5886529603439854,18.050321536394957,20.638974496738943
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,action_cost_proxy_mw,random_interpolation,17,3.9860689043158626,15.65506515129134,19.641134055607203
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus lindistflow,action_cost_proxy_mw,random_interpolation,42,0.8139825838479453,14.636699380162762,15.450681964010707
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_capture_under_budget,random_interpolation,7,-0.18672465166190322,0.5258691580051291,0.3391445063432259
multiseed_budgeted_ac_triage,VoltGuard 20pct budget minus oracle,severity_capture_under_budget,random_interpolation,17,-0.2064845616710892,0.5174289177809974,0.3109443561099082
