seed,method,variant,budget_fraction,test_scenarios,ac_calls,ac_calls_avoided,original_risky_scenarios,captured_risky_scenarios,risky_recall_under_budget,missed_risky_not_sent,severity_capture_under_budget,original_total_severity,post_policy_total_severity,severity_reduction_ratio,post_policy_violating_scenarios,scenario_violation_reduction_ratio,post_policy_violating_buses,bus_violation_reduction_ratio,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,action_cost_proxy_mw
42,LinDistFlow point-risk,point_ranking,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.31610630132403417,2.1389972288438517,2.018073118012255,0.05653308438223525,93.0,0.0,785.0,0.011335012594458438,239.84934000057135,0.0,4.6546922180000365,4.6546922180000365
42,Oracle realized severity,oracle,0.1,120.0,12.0,108.0,93.0,12.0,0.12903225806451613,81.0,0.31610630132403417,2.1389972288438517,2.018073118012255,0.05653308438223525,93.0,0.0,785.0,0.011335012594458438,239.84934000057135,0.0,4.6546922180000365,4.6546922180000365
42,Random budget expectation,random,0.1,120.0,12.0,108.0,93.0,9.3225,0.10024193548387095,83.6775,0.10048248360670976,2.1389972288438517,2.0191810996820716,0.0560150932156848,88.287,0.050677419354838694,748.9285,0.05676511335012594,239.84934000057137,0.0,5.790955060727898,5.790955060727898
42,VoltGuard interval-risk,topology_pv_loading_conditioned,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.3713596626278155,2.1389972288438517,1.7906612647952225,0.1628501240447647,87.0,0.06451612903225806,616.0,0.22418136020151133,239.84934000057135,0.0,15.450681964010707,15.450681964010707
42,LinDistFlow point-risk,point_ranking,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.54924209917526,2.1389972288438517,1.7673314895654841,0.173756998965004,93.0,0.0,763.0,0.03904282115869018,239.84934000057135,0.0,14.636699380162762,14.636699380162762
42,Oracle realized severity,oracle,0.2,120.0,24.0,96.0,93.0,24.0,0.25806451612903225,69.0,0.54924209917526,2.1389972288438517,1.7673314895654841,0.173756998965004,93.0,0.0,763.0,0.03904282115869018,239.84934000057135,0.0,14.636699380162762,14.636699380162762
42,Random budget expectation,random,0.2,120.0,24.0,96.0,93.0,18.6635,0.20068279569892467,74.3365,0.20168557896576528,2.1389972288438517,1.8965673922661148,0.11333807884770962,83.635,0.10069892473118279,703.2695,0.11427015113350125,239.84934000057137,0.0,11.693364244107782,11.693364244107782
42,VoltGuard interval-risk,topology_pv_loading_conditioned,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.6381959190350571,2.1389972288438517,1.5782301095216533,0.2621635557823038,87.0,0.06451612903225806,606.0,0.2367758186397985,239.84934000057135,0.0,23.696459183416362,23.696459183416362
42,LinDistFlow point-risk,point_ranking,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.713162754077205,2.1389972288438517,1.5179148806331284,0.2903614552817463,93.0,0.0,692.0,0.12846347607052896,239.84934000057135,0.0,25.0588978961078,25.0588978961078
42,Oracle realized severity,oracle,0.3,120.0,36.0,84.0,93.0,36.0,0.3870967741935484,57.0,0.713162754077205,2.1389972288438517,1.5179148806331284,0.2903614552817463,93.0,0.0,692.0,0.12846347607052896,239.84934000057135,0.0,25.0588978961078,25.0588978961078
42,Random budget expectation,random,0.3,120.0,36.0,84.0,93.0,27.957,0.30061290322580647,65.043,0.2997857225589821,2.1389972288438517,1.7775567802432728,0.1689765857228065,78.876,0.15187096774193548,658.138,0.1711108312342569,239.84934000057137,0.0,17.48543598263071,17.48543598263071
42,VoltGuard interval-risk,topology_pv_loading_conditioned,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9018530011597031,2.1389972288438517,1.1484012304528555,0.4631123336828364,79.0,0.15053763440860216,501.0,0.3690176322418136,239.84934000057135,0.0,42.42979352623529,42.42979352623529
42,LinDistFlow point-risk,point_ranking,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.9110747178077713,2.1389972288438517,1.1286760040974544,0.4723340503309046,79.0,0.15053763440860216,510.0,0.35768261964735515,239.84934000057135,0.0,43.61586963987909,43.61586963987909
42,Oracle realized severity,oracle,0.5,120.0,60.0,60.0,93.0,60.0,0.6451612903225806,33.0,0.911461033596235,2.1389972288438517,1.127849675696472,0.47272036611936824,79.0,0.15053763440860216,510.0,0.35768261964735515,239.84934000057135,0.0,43.86294670195397,43.86294670195397
42,Random budget expectation,random,0.5,120.0,60.0,60.0,93.0,46.491,0.49990322580645163,46.509,0.4992867654783436,2.1389972288438517,1.5386164854899615,0.2806832731047537,69.4785,0.2529193548387096,568.3125,0.28424118387909325,239.84934000057137,0.0,29.02952653428576,29.02952653428576
42,VoltGuard interval-risk,topology_pv_loading_conditioned,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1389972288438517,0.9384650719141197,0.5612593325231333,46.0,0.5053763440860215,342.0,0.5692695214105793,239.84934000057135,0.0,58.044574503294285,58.044574503294285
42,LinDistFlow point-risk,point_ranking,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1389972288438517,0.9384650719141197,0.5612593325231333,46.0,0.5053763440860215,342.0,0.5692695214105793,239.84934000057135,0.0,58.044574503294285,58.044574503294285
42,Oracle realized severity,oracle,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1389972288438517,0.9384650719141197,0.5612593325231333,46.0,0.5053763440860215,342.0,0.5692695214105793,239.84934000057135,0.0,58.044574503294285,58.044574503294285
42,Random budget expectation,random,1.0,120.0,120.0,0.0,93.0,93.0,1.0,0.0,1.0,2.1389972288438517,0.9384650719141198,0.5612593325231333,46.0,0.5053763440860217,342.0,0.5692695214105793,239.84934000057137,0.0,58.044574503294264,58.044574503294264
