family,calibration_samples,group_q,q_used,shrinkage,split_name,seed,method,conformal_variant,test_samples,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
pv_bin=0.8,1023,0.0003340341337184943,0.0003274155741978407,True,random_interpolation,17,VoltGuard topology-aware residual,pv_conditioned,1842,0.8838219326818675,0.000654831148395637,0.972972972972973,1.0,0.9863013698630136,0.002355712603062426,0
feeder=33,1980,0.0003094213807467899,0.0003070313004369228,True,random_interpolation,17,VoltGuard topology-aware residual,topology_conditioned,1980,0.8878787878787879,0.0006140626008739314,0.9758771929824561,1.0,0.9877913429522752,0.0071661237785016286,0
feeder=69,4140,0.00022526025529361063,0.00022607269527021308,True,random_interpolation,17,VoltGuard topology-aware residual,topology_conditioned,4140,0.8917874396135266,0.00045214539054042757,0.9930875576036866,1.0,0.9965317919075144,0.0008088433540037746,0
feeder=33|pv_bin=0.2|load_bin=high_load,396,0.00021600954880137557,0.00022481966200705686,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,297,0.8518518518518519,0.000449639324014098,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.2|load_bin=low_load,231,0.0002962802017499349,0.00028523111067791675,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,231,1.0,0.0005704622213558197,0.9423076923076923,1.0,0.9702970297029703,0.016483516483516484,0
feeder=33|pv_bin=0.4|load_bin=high_load,198,0.0003257743673257566,0.0003036043481901184,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,198,0.9949494949494949,0.000607208696380202,0.9797979797979798,1.0,0.9897959183673469,0.019801980198019802,0
feeder=33|pv_bin=0.4|load_bin=low_load,231,0.00016756998101018553,0.00019540615300153575,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,198,0.9141414141414141,0.0003908123060030217,0.9523809523809523,1.0,0.975609756097561,0.0056179775280898875,0
feeder=33|pv_bin=0.6|load_bin=high_load,462,0.00034543457900647784,0.00033018068777784386,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,330,0.7333333333333333,0.0006603613755555866,0.9743589743589743,1.0,0.987012987012987,0.007874015748031496,0
feeder=33|pv_bin=0.6|load_bin=low_load,198,0.00014620388133782222,0.0001842924145471284,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,264,0.8939393939393939,0.0003685848290941911,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.8|load_bin=high_load,165,0.0007225348999991026,0.0005478831303019148,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,198,0.9040404040404041,0.0010957662606039102,0.9411764705882353,1.0,0.9696969696969697,0.005494505494505495,0
feeder=33|pv_bin=0.8|load_bin=low_load,99,0.00034001607994831924,0.0002996601153017039,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,264,0.9356060606060606,0.0005993202306033945,0.9,1.0,0.9473684210526315,0.00392156862745098,0
feeder=69|pv_bin=0.2|load_bin=high_load,621,0.00018864489433907368,0.00019850104079711543,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,621,0.9033816425120773,0.0003970020815942255,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.2|load_bin=low_load,414,7.118802711659033e-05,0.0001078650082809803,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,414,0.9806763285024155,0.00021573001656195536,0.9791666666666666,1.0,0.9894736842105263,0.0027247956403269754,0
feeder=69|pv_bin=0.4|load_bin=high_load,621,0.0002962099648697489,0.0002911472388547428,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,414,0.9782608695652174,0.0005822944777094221,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.4|load_bin=low_load,345,7.973466331584514e-05,0.00012017804466094842,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,414,0.9589371980676329,0.00024035608932182994,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.6|load_bin=high_load,483,0.00031242962603504973,0.0003033864157891672,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,276,0.7608695652173914,0.0006067728315783498,0.9714285714285714,1.0,0.9855072463768116,0.004132231404958678,0
feeder=69|pv_bin=0.6|load_bin=low_load,897,0.00016054054138712865,0.00017048709794825463,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,621,0.8921095008051529,0.00034097419589641125,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=high_load,207,0.0004787838143088368,0.00040742351984392406,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,621,0.856682769726248,0.0008148470396878224,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=low_load,552,0.0002248252706263749,0.00023017533806121845,True,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,759,0.9104084321475626,0.00046035067612244074,0.9791666666666666,1.0,0.9894736842105263,0.0014044943820224719,0
feeder=33|pv_bin=0.2|load_bin=high_load,396,0.00021600954880137557,0.00021600954880137557,False,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,297,0.8518518518518519,0.00043201909760281744,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.2|load_bin=low_load,231,0.0002962802017499349,0.0002962802017499349,False,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,231,1.0,0.000592560403499972,0.9423076923076923,1.0,0.9702970297029703,0.016483516483516484,0
feeder=33|pv_bin=0.4|load_bin=high_load,198,0.0003257743673257566,0.0003257743673257566,False,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,198,0.9949494949494949,0.0006515487346514531,0.9797979797979798,1.0,0.9897959183673469,0.019801980198019802,0
feeder=33|pv_bin=0.4|load_bin=low_load,231,0.00016756998101018553,0.00016756998101018553,False,random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,198,0.898989898989899,0.00033513996202039155,0.9523809523809523,1.0,0.975609756097561,0.0056179775280898875,0
