method,variant,calibration_fraction,repeat,calibration_scenarios,calibration_bus_samples,global_q,families_total_test,families_observed_calib,empty_test_families,min_family_bus_samples,min_family_scenario_samples,median_family_scenario_samples,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios
Boosting point + global conformal,global,0.25,2,30,1530,0.0006348251300678026,1,1,0,1530,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9297385620915033,0.0012696502601356938,0.9850107066381156,0.998914223669924,0.9919137466307277,0.0026928255433737256,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,3,30,1530,0.0005399127113072942,1,1,0,1530,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.905718954248366,0.0010798254226145408,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,4,30,1638,0.0005037577874957174,1,1,0,1638,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8905228758169934,0.0010075155749913662,0.9913419913419913,0.99457111834962,0.9929539295392954,0.0015387574533564147,5,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,5,30,1602,0.0005683770867781123,1,1,0,1602,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9156862745098039,0.0011367541735562905,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,6,30,1422,0.0005483603318643388,1,1,0,1422,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9086601307189542,0.001096720663728671,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,7,30,1530,0.0005074658828170528,1,1,0,1530,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8921568627450981,0.0010149317656340604,0.9913419913419913,0.99457111834962,0.9929539295392954,0.0015387574533564147,5,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,8,30,1602,0.0004722168838179018,1,1,0,1602,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8774509803921569,0.0009444337676358468,0.9934782608695653,0.992399565689468,0.9929386203150462,0.001154068090017311,7,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,9,30,1566,0.0006232261276653192,1,1,0,1566,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9266339869281046,0.001246452255330607,0.9850107066381156,0.998914223669924,0.9919137466307277,0.0026928255433737256,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,10,30,1350,0.0004863636567985806,1,1,0,1350,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8851307189542483,0.0009727273135971186,0.991332611050921,0.993485342019544,0.9924078091106291,0.0015387574533564147,6,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.25,11,30,1566,0.000604318795261653,1,1,0,1566,30,30.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9227124183006536,0.001208637590523345,0.9850107066381156,0.998914223669924,0.9919137466307277,0.0026928255433737256,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
