method,variant,budget_fraction,runs,test_scenarios_mean,test_scenarios_std,test_scenarios_ci95,ac_calls_mean,ac_calls_std,ac_calls_ci95,ac_calls_avoided_mean,ac_calls_avoided_std,ac_calls_avoided_ci95,original_risky_scenarios_mean,original_risky_scenarios_std,original_risky_scenarios_ci95,captured_risky_scenarios_mean,captured_risky_scenarios_std,captured_risky_scenarios_ci95,risky_recall_under_budget_mean,risky_recall_under_budget_std,risky_recall_under_budget_ci95,missed_risky_not_sent_mean,missed_risky_not_sent_std,missed_risky_not_sent_ci95,severity_capture_under_budget_mean,severity_capture_under_budget_std,severity_capture_under_budget_ci95,original_total_severity_mean,original_total_severity_std,original_total_severity_ci95,post_policy_total_severity_mean,post_policy_total_severity_std,post_policy_total_severity_ci95,severity_reduction_ratio_mean,severity_reduction_ratio_std,severity_reduction_ratio_ci95,post_policy_violating_scenarios_mean,post_policy_violating_scenarios_std,post_policy_violating_scenarios_ci95,scenario_violation_reduction_ratio_mean,scenario_violation_reduction_ratio_std,scenario_violation_reduction_ratio_ci95,post_policy_violating_buses_mean,post_policy_violating_buses_std,post_policy_violating_buses_ci95,bus_violation_reduction_ratio_mean,bus_violation_reduction_ratio_std,bus_violation_reduction_ratio_ci95,accepted_pv_mw_mean,accepted_pv_mw_std,accepted_pv_mw_ci95,curtailed_pv_mw_mean,curtailed_pv_mw_std,curtailed_pv_mw_ci95,relieved_load_mw_mean,relieved_load_mw_std,relieved_load_mw_ci95,action_cost_proxy_mw_mean,action_cost_proxy_mw_std,action_cost_proxy_mw_ci95
Random budget expectation,random,0.1,3,120.0,0.0,0.0,12.0,0.0,0.0,108.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,9.2275,0.09450396817065411,0.10694130726711736,0.09993991492378589,0.0006355442482694699,0.0007191860199277818,83.10583333333334,1.0743669453838045,1.21576064844652,0.09993684763763905,0.0007594074457331844,0.000859350422708574,2.168845035820295,0.07007708628617744,0.07929968827744438,2.0438707283507984,0.06782309109585305,0.07674905260686801,0.05763917809155009,0.0019777267239129612,0.002238008470611943,88.06333333333333,0.902531070563967,1.0213100508225308,0.046223561384851695,0.003941249201767045,0.004459943323663858,815.3706666666667,60.88481735279603,68.89765674886806,0.05592740725471627,0.0016687902990861424,0.001888413995660904,222.51707650286937,27.147183048640805,30.719929544110716,0.0,0.0,0.0,5.881255258073025,0.09630289573580869,0.10897698544254684,5.881255258073025,0.09630289573580869,0.10897698544254684
Random budget expectation,random,0.2,3,120.0,0.0,0.0,24.0,0.0,0.0,96.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,18.506833333333333,0.23387728263628618,0.2646570596913001,0.20043489306392528,0.00023971654109490692,0.000271264802679487,73.8265,0.9221525090786231,1.0435137987268466,0.20066579022804235,0.0009727304754148932,0.001100748155586293,2.168845035820295,0.07007708628617744,0.07929968827744438,1.917062030407994,0.06668333039776264,0.07545929196099367,0.11613391027873167,0.0039436965831716264,0.004462712796436838,83.80183333333333,0.6739199383705206,0.7626122013477331,0.09234887155854897,0.007738832228412951,0.008757313065763635,766.9105,57.67593668940279,65.26646644384542,0.11206051936875587,0.0038551467383127194,0.0043625092139754984,222.51707650286937,27.147183048640805,30.719929544110716,0.0,0.0,0.0,11.837799195660885,0.14057206136973005,0.1590722622458143,11.837799195660885,0.14057206136973005,0.1590722622458143
Random budget expectation,random,0.3,3,120.0,0.0,0.0,36.0,0.0,0.0,84.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,27.730999999999998,0.3725533518839961,0.4215838048755361,0.3003334121076056,0.00030324502729290806,0.0003431540523504327,64.60233333333333,0.7823869460397054,0.8853541752566874,0.30043044191388724,0.000565547862757591,0.0006399776531733169,2.168845035820295,0.07007708628617744,0.07929968827744438,1.7920291393754908,0.06581034085054574,0.07447141129082627,0.1738074905202336,0.0065299521917842355,0.007389336525215151,79.54583333333333,0.7852471479307179,0.8885907983868444,0.13841760211115048,0.012219948485217883,0.013828173472950853,719.0645,54.879087704243005,62.10153387549453,0.16750255896842722,0.005153904056433686,0.005832191472944606,222.51707650286937,27.147183048640805,30.719929544110716,0.0,0.0,0.0,17.728297344795386,0.22041800477389276,0.24942645300527652,17.728297344795386,0.22041800477389276,0.24942645300527652
Random budget expectation,random,0.5,3,120.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,46.11066666666667,0.5682069018705516,0.6429866391907179,0.49939450155579185,0.0005902658703473013,0.0006679487119113877,46.22266666666667,0.5914888699995431,0.6693326663011313,0.4995401330690756,0.000841615584852257,0.0009523776895585244,2.168845035820295,0.07007708628617744,0.07929968827744438,1.5429945018948776,0.06334382978447729,0.07168029126803681,0.2886663413902821,0.010465401099680107,0.011842716198472322,71.02466666666668,1.3659204161785328,1.545684459145672,0.2306593406593406,0.02006111247754451,0.02270128583074122,622.8278333333333,48.24856243799738,54.5983882027169,0.2789473058405995,0.008409428208403891,0.009516163854111526,222.51707650286937,27.147183048640805,30.719929544110716,0.0,0.0,0.0,29.455700762838777,0.4060582768767919,0.4594981967045232,29.455700762838777,0.4060582768767919,0.4594981967045232
Random budget expectation,random,1.0,3,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,92.33333333333333,1.1547005383792517,1.3066666666666669,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.168845035820295,0.07007708628617744,0.07929968827744438,0.915955182830368,0.06558785963458236,0.07421965009457113,0.5778886761116682,0.02177660831930751,0.024642552123370902,49.666666666666664,3.214550253664318,3.6376060503822805,0.4618535586277521,0.039413221501128304,0.04460025872488127,381.3333333333333,34.19551627528576,38.69586943216435,0.5586477758094858,0.017192036015955734,0.019454620178590377,222.51707650286937,27.147183048640805,30.719929544110716,0.0,0.0,0.0,58.96208965203425,0.8418803195251199,0.9526772650424213,58.96208965203425,0.8418803195251199,0.9526772650424213
VoltGuard interval-risk,topology_pv_loading_conditioned,0.1,3,120.0,0.0,0.0,12.0,0.0,0.0,108.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,12.0,0.0,0.0,0.12997754933238803,0.0016372925039053589,0.0018527708850289543,80.33333333333333,1.1547005383792517,1.3066666666666669,0.20311277948825004,0.025392950741173658,0.028734828814033615,2.168845035820295,0.07007708628617702,0.07929968827744392,1.9109941899854472,0.07507330739932734,0.08495344470247605,0.11901324419016075,0.007435946469939353,0.0084145655643543,92.0,1.0,1.1316065276116665,0.003584229390681004,0.006208067410641137,0.007025089605734767,767.3333333333334,70.15934245225887,79.39276989191843,0.11230676011813649,0.015531766549831995,0.017575848413130417,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,10.693762473705696,0.3519051430002609,0.3982181569192122,10.693762473705696,0.3519051430002609,0.3982181569192122
VoltGuard interval-risk,topology_pv_loading_conditioned,0.2,3,120.0,0.0,0.0,24.0,0.0,0.0,96.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,24.0,0.0,0.0,0.25995509866477606,0.0032745850078107178,0.0037055417700579086,68.33333333333333,1.1547005383792517,1.3066666666666669,0.3404828416936499,0.030229880442135693,0.034208330037241004,2.168845035820295,0.07007708628617702,0.07929968827744392,1.7415911430964097,0.09564471225124584,0.10823218071504932,0.19707684976061243,0.033588844739420066,0.038009355962062535,86.33333333333333,2.0816659994661326,2.35562683330314,0.06506754893851668,0.011589660632469648,0.013114935624506609,651.6666666666666,33.321664624285106,37.70701319972778,0.24456063436322548,0.01827706733344268,0.020682448700121692,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,18.576930172118953,2.75299696340452,3.1153093342836513,18.576930172118953,2.75299696340452,3.1153093342836513
VoltGuard interval-risk,topology_pv_loading_conditioned,0.3,3,120.0,0.0,0.0,36.0,0.0,0.0,84.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,36.0,0.0,0.0,0.38993264799716415,0.004911877511716061,0.005558312655086845,56.333333333333336,1.1547005383792517,1.3066666666666669,0.5828812391231829,0.053183670196328796,0.06018298835651171,2.168845035820295,0.07007708628617702,0.07929968827744392,1.5873812961149198,0.07991727238502278,0.09043490709981135,0.26834978041623136,0.01563164768584982,0.01768887455863346,84.0,2.6457513110645907,2.9939494540378155,0.09023592894560638,0.026956948476121304,0.030504658860070234,620.6666666666666,18.175074506954115,20.56703295189767,0.2790960719419014,0.04864873988709442,0.0550512316163181,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,24.9605913909332,1.3256346022502374,1.500096769134264,24.9605913909332,1.3256346022502374,1.500096769134264
VoltGuard interval-risk,topology_pv_loading_conditioned,0.5,3,120.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,60.0,0.0,0.0,0.6498877466619403,0.008186462519526778,0.009263854425144751,32.333333333333336,1.1547005383792517,1.3066666666666669,0.8860870119627443,0.02014714848989225,0.022798644743923596,2.168845035820295,0.07007708628617702,0.07929968827744392,1.1554958098413703,0.09388671284285612,0.10624281710897807,0.4677405082603621,0.02738894485757346,0.030993508785226113,80.0,1.0,1.1316065276116665,0.13348300445074637,0.01532200097051662,0.017338476314308897,544.0,37.322915213043046,42.23485448457628,0.36977457730833496,0.018566452537685445,0.02100991888623704,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,42.88964171947803,1.1690946960935982,1.3229551894956932,42.88964171947803,1.1690946960935982,1.3229551894956932
VoltGuard interval-risk,topology_pv_loading_conditioned,1.0,3,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,92.33333333333333,1.1547005383792517,1.3066666666666669,92.33333333333333,1.1547005383792517,1.3066666666666669,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.168845035820295,0.07007708628617702,0.07929968827744392,0.9159551828303679,0.06558785963458262,0.07421965009457143,0.5778886761116682,0.021776608319307406,0.024642552123370787,49.666666666666664,3.214550253664318,3.6376060503822805,0.4618535586277521,0.03941322150112815,0.0446002587248811,381.3333333333333,34.19551627528576,38.69586943216435,0.5586477758094858,0.017192036015955793,0.019454620178590447,222.51707650286934,27.1471830486408,30.719929544110713,0.0,0.0,0.0,58.96208965203427,0.8418803195251168,0.9526772650424177,58.96208965203427,0.8418803195251168,0.9526772650424177
