split_name,method,conformal_variant,mae_mean,mae_std,mae_ci95,rmse_mean,rmse_std,rmse_ci95,max_abs_error_mean,max_abs_error_std,max_abs_error_ci95,coverage_mean,coverage_std,coverage_ci95,avg_width_mean,avg_width_std,avg_width_ci95,recall_mean,recall_std,recall_ci95,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci95,missed_violations_mean,missed_violations_std,missed_violations_ci95,runs
random_interpolation,VoltGuard topology-aware residual,topology_conditioned,8.826279297697627e-05,1.8091307533303402e-05,2.0472241697716247e-05,0.0001690225813674362,4.724700589448141e-05,5.346502028030205e-05,0.002158598911366975,0.0011754506681383842,0.0013301476489508905,0.9205882352941176,0.032594660496187464,0.03688433058277185,0.0005301676260906366,2.7530115268654836e-05,3.115325814391142e-05,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.00202868563361729,0.0005804240826803263,0.0006568116807440709,0.3333333333333333,0.5773502691896258,0.6533333333333334,3
random_interpolation,VoltGuard topology-aware residual,topology_pv_loading_conditioned,8.826279297697627e-05,1.8091307533303402e-05,2.0472241697716247e-05,0.0001690225813674362,4.724700589448141e-05,5.346502028030205e-05,0.002158598911366975,0.0011754506681383842,0.0013301476489508905,0.9239651416122004,0.018859163499524684,0.021341152521357813,0.0004943505863617227,5.8024652438168384e-05,6.566107546142955e-05,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.0017071325111211652,0.0010003126909679937,0.0011319603707521733,0.3333333333333333,0.5773502691896258,0.6533333333333334,3
random_interpolation,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,8.826279297697627e-05,1.8091307533303402e-05,2.0472241697716247e-05,0.0001690225813674362,4.724700589448141e-05,5.346502028030205e-05,0.002158598911366975,0.0011754506681383842,0.0013301476489508905,0.9091503267973856,0.01684909134617542,0.01906654175165735,0.0004915022766761693,6.592375293345155e-05,7.459974914415252e-05,0.9996380745566413,0.0006268732564491053,0.0007093738689829897,0.001517845505577791,0.0010577056995073632,0.0011969066738545962,0.3333333333333333,0.5773502691896258,0.6533333333333334,3
synthetic_time_block,Boosting point + global conformal,global,0.0003673750798287707,6.782654920063651e-06,7.675296582081414e-06,0.0008958305570488854,9.616226492090634e-06,1.0881784669442e-05,0.018657812575242055,7.945810744776486e-05,8.991531305955989e-05,0.8746732026143791,0.003263886332587926,0.003693435079339,0.001088618710951341,1.5302984968993693e-05,1.7316957682856477e-05,0.9975490196078431,0.0006064603667958233,0.0006862745098039192,0.0036764705882352945,0.00019349845201238397,0.00021896411137996651,2.3333333333333335,0.5773502691896258,0.6533333333333334,3
synthetic_time_block,VoltGuard topology-aware residual,global,8.456511977941375e-05,3.5378947298517395e-07,4.003504770303142e-07,0.00015550710494268612,7.296539055154605e-07,8.256811223786412e-07,0.00186110935061079,7.363646971077624e-05,8.332750979499316e-05,0.8960784313725491,0.002699789483963766,0.0030550994032307304,0.00046101432479517105,5.100247222921064e-06,5.7714730498907505e-06,0.9989495798319328,0.0,0.0,0.0027089783281733747,0.0,0.0,1.0,0.0,0.0,3
synthetic_time_block,VoltGuard topology-aware residual,pv_conditioned,8.456511977941375e-05,3.5378947298517395e-07,4.003504770303142e-07,0.00015550710494268612,7.296539055154605e-07,8.256811223786412e-07,0.00186110935061079,7.363646971077624e-05,8.332750979499316e-05,0.8963507625272332,0.0019494041577530737,0.002205958469866701,0.0004943793028975651,6.8382003208622375e-06,7.738152120203901e-06,0.9989495798319328,0.0,0.0,0.0023864809081527347,0.00011171638335712577,0.00012641898864809088,1.0,0.0,0.0,3
synthetic_time_block,VoltGuard topology-aware residual,topology_conditioned,8.456511977941375e-05,3.5378947298517395e-07,4.003504770303142e-07,0.00015550710494268612,7.296539055154605e-07,8.256811223786412e-07,0.00186110935061079,7.363646971077624e-05,8.332750979499316e-05,0.903322440087146,0.0015701018851197737,0.001776737542216919,0.00048537993115674603,7.289726981478412e-06,8.24910263674786e-06,0.9989495798319328,0.0,0.0,0.0036764705882352936,5.311484201212962e-19,6.010510193398826e-19,1.0,0.0,0.0,3
synthetic_time_block,VoltGuard topology-aware residual,topology_pv_loading_conditioned,8.456511977941375e-05,3.5378947298517395e-07,4.003504770303142e-07,0.00015550710494268612,7.296539055154605e-07,8.256811223786412e-07,0.00186110935061079,7.363646971077624e-05,8.332750979499316e-05,0.9149237472766885,0.001700707515903697,0.0019245317265548457,0.0005055934857167032,3.4374753984186435e-06,3.889869599355051e-06,0.9989495798319328,0.0,0.0,0.0025799793601651183,0.00011171638335712576,0.00012641898864809085,1.0,0.0,0.0,3
synthetic_time_block,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,8.456511977941375e-05,3.5378947298517395e-07,4.003504770303142e-07,0.00015550710494268612,7.296539055154605e-07,8.256811223786412e-07,0.00186110935061079,7.363646971077624e-05,8.332750979499316e-05,0.9031045751633987,0.004356958047703705,0.0049303621673116955,0.0005440367113860219,4.695515271149833e-06,5.313475731333415e-06,0.9989495798319328,0.0,0.0,0.0023864809081527347,0.00011171638335712577,0.00012641898864809088,1.0,0.0,0.0,3
topology_heldout_33_to_69,Boosting point + global conformal,global,0.0006306068994340962,1.8832394373435108e-05,2.131086040353639e-05,0.0012828804096573579,5.54378525660019e-05,6.273383584046093e-05,0.022760027020085283,0.0013851476711841842,0.0015674421464181212,0.899248523886205,0.009345441300133138,0.010575362378642318,0.002803678553152014,5.439030849508069e-05,6.15484281318456e-05,1.0,0.0,0.0,0.002003585862580653,0.00022729803020968715,0.0002572119346985558,0.0,0.0,0.0,3
topology_heldout_33_to_69,VoltGuard topology-aware residual,global,0.0004683876414924345,1.904743711033224e-05,2.155420416832466e-05,0.0006756360454259451,2.072536490948796e-05,2.3452958218710354e-05,0.00374171937965051,7.092403416184344e-05,8.025810002209487e-05,0.8994363929146538,0.019178365380228803,0.021702363453188517,0.0020786184409115303,9.34196206471107e-05,0.00010571425253127608,0.9994754523243529,0.00045430577784399186,0.0005140953837399568,0.0010765126366430533,0.00017969662219408168,0.0002033458706645903,0.6666666666666666,0.5773502691896258,0.6533333333333334,3
topology_heldout_33_to_69,VoltGuard topology-aware residual,pv_conditioned,0.0004683876414924345,1.904743711033224e-05,2.155420416832466e-05,0.0006756360454259451,2.072536490948796e-05,2.3452958218710354e-05,0.00374171937965051,7.092403416184344e-05,8.025810002209487e-05,0.8923510466988728,0.022680603494930767,0.025665518965035633,0.0020603115979970616,8.650711251135577e-05,9.789201320268706e-05,1.0,0.0,0.0,0.0008971349740018201,0.00015594108799622624,0.00017646395309939492,0.0,0.0,0.0,3
topology_heldout_33_to_69,VoltGuard topology-aware residual,topology_conditioned,0.0004683876414924345,1.904743711033224e-05,2.155420416832466e-05,0.0006756360454259451,2.072536490948796e-05,2.3452958218710354e-05,0.00374171937965051,7.092403416184344e-05,8.025810002209487e-05,0.8994363929146538,0.019178365380228803,0.021702363453188517,0.0020786184409115303,9.34196206471107e-05,0.00010571425253127608,0.9994754523243529,0.00045430577784399186,0.0005140953837399568,0.0010765126366430533,0.00017969662219408168,0.0002033458706645903,0.6666666666666666,0.5773502691896258,0.6533333333333334,3
topology_heldout_33_to_69,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.0004683876414924345,1.904743711033224e-05,2.155420416832466e-05,0.0006756360454259451,2.072536490948796e-05,2.3452958218710354e-05,0.00374171937965051,7.092403416184344e-05,8.025810002209487e-05,0.9016639828234031,0.005989782611792811,0.006778077102479602,0.0020277548576372157,4.555967689223375e-05,5.155562776713011e-05,1.0,0.0,0.0,0.0007178163218295649,0.0003239906469835974,0.00036662993101176593,0.0,0.0,0.0,3
topology_heldout_33_to_69,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.0004683876414924345,1.904743711033224e-05,2.155420416832466e-05,0.0006756360454259451,2.072536490948796e-05,2.3452958218710354e-05,0.00374171937965051,7.092403416184344e-05,8.025810002209487e-05,0.8983628556092325,0.0033395250565342646,0.0037790283530968936,0.0020340009644738252,7.040088291648037e-05,7.966609865791385e-05,1.0,0.0,0.0,0.0007178378022332073,0.00046669657922596494,0.0005281168954661372,0.0,0.0,0.0,3
