feeder,scenario_id,load_relief,pv_curtail,predicted_risk_buses,predicted_interval_severity,predicted_mean_width,ldf_point_severity
33,31,0.1,0.2,0,0.0,0.0005274910307726532,0.0
33,31,0.2,0.0,0,0.0,0.00040027599572001193,0.0
33,31,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,31,0.2,0.2,0,0.0,0.0005274910307726566,0.0
33,38,0.0,0.0,0,0.0,0.0005968840775811834,0.0
33,38,0.0,0.1,0,0.0,0.0005274910307726566,0.0
33,38,0.0,0.2,0,0.0,0.0005274910307726566,0.0
33,38,0.1,0.0,0,0.0,0.0005968840775811868,0.0
33,38,0.1,0.1,0,0.0,0.0005274910307726532,0.0
33,38,0.1,0.2,0,0.0,0.0005274910307726532,0.0
33,38,0.2,0.0,0,0.0,0.0005968840775811834,0.0
33,38,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,38,0.2,0.2,0,0.0,0.0005274910307726532,0.0
33,47,0.0,0.0,12,0.015227226862094878,0.0007579145766942775,0.012944663453272387
33,47,0.0,0.1,15,0.017636162497947194,0.0005274910307726566,0.015354297366304337
33,47,0.0,0.2,16,0.020134381826689807,0.0005274910307726566,0.017770159696350096
33,47,0.1,0.0,4,0.005743415542615482,0.00040027599572001193,0.004074237757160537
33,47,0.1,0.1,5,0.00830028973048591,0.0005274910307726566,0.006461217874097813
33,47,0.1,0.2,10,0.010865880872937606,0.0005274910307726566,0.008854251947890579
33,47,0.2,0.0,0,0.0,0.00040027599572001193,0.0
33,47,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,47,0.2,0.2,3,0.0014483189511683703,0.0005274910307726566,2.2019728582955977e-05
33,52,0.0,0.0,5,0.012383713896656046,0.00040027599572001193,0.01035625188534317
33,52,0.0,0.1,9,0.014457796388060107,0.0005274910307726566,0.012311124126324402
33,52,0.0,0.2,12,0.01645855658430062,0.0005274910307726566,0.01427008036318822
33,52,0.1,0.0,4,0.0036450544475047364,0.00040027599572001193,0.0022092628287677663
33,52,0.1,0.1,4,0.00573384990324044,0.0005274910307726566,0.004147296861787053
33,52,0.1,0.2,5,0.007717473007101794,0.0005274910307726566,0.006089310050923613
33,52,0.2,0.0,0,0.0,0.00040027599572001193,0.0
33,52,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,52,0.2,0.2,0,0.0,0.0005274910307726566,0.0
33,59,0.0,0.0,20,0.03410546579761997,0.0006887679490457066,0.030902025550743506
