method,variant,feeder,scenario_id,branch_count,drop_rmse,drop_mae,drop_max_abs,scenario_violation_any,realized_severity
AC power-flow label,reference,69,209,68,0.0003114967603228705,0.00010423832157311072,0.0018594117355883732,True,0.2558976219068452
AC power-flow label,reference,69,210,68,0.00030280077403819957,0.00010167338942760318,0.001857020779592572,True,0.20959447216329663
AC power-flow label,reference,69,214,68,5.705876592801825e-05,1.999011275905554e-05,0.00033850780954076606,False,0.0
AC power-flow label,reference,69,218,68,0.00014484059480688517,4.899496192486282e-05,0.0008484786770414088,True,0.03032056242407355
AC power-flow label,reference,69,230,68,9.531119806077916e-05,3.3479065589324745e-05,0.000571055696630119,False,0.0
AC power-flow label,reference,69,235,68,0.0001593670240109639,5.300840805608729e-05,0.0009648652564706109,True,0.051344553126756676
AC power-flow label,reference,69,244,68,0.0002418814052731283,8.023337537424314e-05,0.0014810835796501137,True,0.13020537158667067
AC power-flow label,reference,69,251,68,0.0004321811766304998,0.0001436255497699017,0.002672538812984425,True,0.2500513958855004
AC power-flow label,reference,69,254,68,0.0005361507777575157,0.00017789958138965454,0.003226673321397658,True,0.46475835982333846
AC power-flow label,reference,69,257,68,0.00013549778257762737,4.732843023108986e-05,0.0008228635808090884,True,0.013056100181927377
AC power-flow label,reference,69,268,68,0.0003840853728016359,0.00012824060048005154,0.0022822914648464865,True,0.33471763699583457
AC power-flow label,reference,69,269,68,0.00037979288409837947,0.00012771397705303077,0.002257560906758077,True,0.3246257772611043
AC power-flow label,reference,69,272,68,0.0004049761887095784,0.00013486539247162973,0.0024256478476097354,True,0.3464515547046978
AC power-flow label,reference,69,275,68,0.0001233160356349886,4.1801028296303494e-05,0.0007561968055432577,True,0.0047088026040568165
AC power-flow label,reference,69,281,68,0.0003784757744814169,0.00013339202064898401,0.0022495681243256058,True,0.2610421393016801
AC power-flow label,reference,69,286,68,0.00013102663259780537,4.464290150401829e-05,0.0007867247122501503,True,0.00837630297231684
AC power-flow label,reference,69,291,68,0.0001072958845738569,3.591482297326695e-05,0.0006532223246049768,False,0.0
AC power-flow label,reference,69,294,68,0.0003060408729904251,0.00010261269003415254,0.0018812252845420638,True,0.19576536719915527
AC power-flow label,reference,69,297,68,0.0001233907625058045,4.07306003236781e-05,0.0007485712230074805,True,0.015704048991353692
AC power-flow label,reference,69,299,68,0.00045304724782848873,0.00015125225060171225,0.002755344469735785,True,0.3693853630443613
Boosting point + global conformal,global,33,3,32,0.0011561173500728831,0.0008534480151236713,0.003019203572905851,True,0.5060232615749586
Boosting point + global conformal,global,33,11,32,0.0003661524828223941,0.0002973733678536378,0.0007725364116802592,False,0.0
Boosting point + global conformal,global,33,13,32,0.000582542205881961,0.00044542098513018335,0.001650062989492363,True,0.10879088623633515
