policy,cost_weight,top_k_candidates,test_scenarios,candidate_grid_size,candidate_ac_audits,candidate_ac_audits_avoided,audit_reduction_ratio,full_best_in_subset_rate,same_action_as_full_rate,post_action_violating_scenarios,full_post_action_violating_scenarios,extra_violating_scenarios_vs_full,post_action_violating_buses,full_post_action_violating_buses,extra_violating_buses_vs_full,action_cost_proxy_mw,full_action_cost_proxy_mw,action_cost_delta_vs_full_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw
VoltGuard risk-cost candidate screening,0.05,3,120,9,360,720,0.6666666666666666,0.9083333333333333,0.9083333333333333,51,51,0,398,398,0,65.58967556047416,59.14266215081935,6.447013409654815,189.6973373474762,1.5336156070060403,64.05605995346812
VoltGuard risk-cost candidate screening,0.05,5,120,9,600,480,0.4444444444444444,0.9333333333333333,0.9333333333333333,51,51,0,398,398,0,62.314830197966984,59.14266215081935,3.172168047147636,190.0571301341289,1.1738228203533354,61.14100737761365
VoltGuard risk-cost candidate screening,0.1,1,120,9,120,960,0.8888888888888888,0.8666666666666667,0.8666666666666667,51,51,0,398,398,0,66.90654778678686,59.14266215081935,7.763885635967512,188.81750698452453,2.4134459699577144,64.49310181682914
VoltGuard risk-cost candidate screening,0.1,2,120,9,240,840,0.7777777777777778,0.9083333333333333,0.9083333333333333,51,51,0,398,398,0,65.58967556047416,59.14266215081935,6.447013409654815,189.6973373474762,1.5336156070060403,64.05605995346812
VoltGuard risk-cost candidate screening,0.1,3,120,9,360,720,0.6666666666666666,0.95,0.95,51,51,0,398,398,0,64.05605995346812,59.14266215081935,4.913397802648774,191.23095295448223,0.0,64.05605995346812
VoltGuard risk-cost candidate screening,0.1,5,120,9,600,480,0.4444444444444444,0.9666666666666667,0.9666666666666667,51,51,0,398,398,0,61.14100737761365,59.14266215081935,1.9983452267942994,191.23095295448223,0.0,61.14100737761365
VoltGuard risk-cost candidate screening,0.15,1,120,9,120,960,0.8888888888888888,0.875,0.875,51,51,0,398,398,0,66.31617615348532,59.14266215081935,7.173514002665968,189.40787861782604,1.8230743366561781,64.49310181682914
VoltGuard risk-cost candidate screening,0.15,2,120,9,240,840,0.7777777777777778,0.95,0.95,51,51,0,398,398,0,64.05605995346812,59.14266215081935,4.913397802648774,191.23095295448223,0.0,64.05605995346812
VoltGuard risk-cost candidate screening,0.15,3,120,9,360,720,0.6666666666666666,0.95,0.95,51,51,0,398,398,0,62.52433309026904,59.14266215081935,3.381670939449691,191.23095295448223,0.0,62.52433309026904
VoltGuard risk-cost candidate screening,0.15,5,120,9,600,480,0.4444444444444444,0.9666666666666667,0.9666666666666667,51,51,0,398,398,0,61.14100737761365,59.14266215081935,1.9983452267942994,191.23095295448223,0.0,61.14100737761365
VoltGuard risk-cost candidate screening,0.2,1,120,9,120,960,0.8888888888888888,0.8833333333333333,0.8833333333333333,51,51,0,398,398,0,65.8791342901243,59.14266215081935,6.736472139304951,189.40787861782604,1.8230743366561781,64.05605995346812
VoltGuard risk-cost candidate screening,0.2,2,120,9,240,840,0.7777777777777778,0.95,0.95,51,51,0,398,398,0,62.52433309026904,59.14266215081935,3.381670939449691,191.23095295448223,0.0,62.52433309026904
VoltGuard risk-cost candidate screening,0.2,3,120,9,360,720,0.6666666666666666,0.9583333333333334,0.9583333333333334,51,51,0,398,398,0,61.57204353340944,59.14266215081935,2.429381382590094,191.23095295448223,0.0,61.57204353340944
VoltGuard risk-cost candidate screening,0.2,5,120,9,600,480,0.4444444444444444,0.975,0.975,51,51,0,398,398,0,60.643451053855216,59.14266215081935,1.5007889030358683,191.23095295448223,0.0,60.643451053855216
VoltGuard risk-cost candidate screening,0.3,1,120,9,120,960,0.8888888888888888,0.925,0.925,51,51,0,398,398,0,64.34551868311826,59.14266215081935,5.2028565322989095,190.94149422483213,0.2894587296501381,64.05605995346812
VoltGuard risk-cost candidate screening,0.3,2,120,9,240,840,0.7777777777777778,0.95,0.95,51,51,0,398,398,0,62.05771472667383,59.14266215081935,2.9150525758544816,191.23095295448223,0.0,62.05771472667383
VoltGuard risk-cost candidate screening,0.3,3,120,9,360,720,0.6666666666666666,0.9916666666666667,0.9916666666666667,51,51,0,398,398,0,59.60928051441456,59.14266215081935,0.4666183635952095,191.23095295448223,0.0,59.60928051441456
VoltGuard risk-cost candidate screening,0.3,5,120,9,600,480,0.4444444444444444,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard risk-cost candidate screening,0.5,1,120,9,120,960,0.8888888888888888,0.9833333333333333,0.9833333333333333,51,51,0,398,398,0,60.05936949987953,59.14266215081935,0.9167073490601823,191.23095295448223,0.0,60.05936949987953
VoltGuard risk-cost candidate screening,0.5,2,120,9,240,840,0.7777777777777778,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard risk-cost candidate screening,0.5,3,120,9,360,720,0.6666666666666666,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard risk-cost candidate screening,0.5,5,120,9,600,480,0.4444444444444444,1.0,1.0,51,51,0,398,398,0,59.14266215081935,59.14266215081935,0.0,191.23095295448223,0.0,59.14266215081935
VoltGuard risk-cost candidate screening,0.8,1,120,9,120,960,0.8888888888888888,0.8916666666666667,0.8916666666666667,61,51,10,432,398,34,54.250162929737115,59.14266215081935,-4.8924992210822325,191.23095295448223,0.0,54.250162929737115
