split_name,seed,method,conformal_variant,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
pv_penetration_shift,42,VoltGuard topology-aware residual,global,0.0003122085209492034,0.0006201443733581717,0.005350281145544811,0.7693426410703897,0.0008172249451654952,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,42,VoltGuard topology-aware residual,pv_conditioned,0.0003122085209492034,0.0006201443733581717,0.005350281145544811,0.7693426410703897,0.0008172249451654952,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,42,VoltGuard topology-aware residual,topology_conditioned,0.0003122085209492034,0.0006201443733581717,0.005350281145544811,0.7741419429901105,0.0008336187856262968,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.0003122085209492034,0.0006201443733581717,0.005350281145544811,0.7693426410703897,0.0008172249451654952,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
pv_penetration_shift,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.0003122085209492034,0.0006201443733581717,0.005350281145544811,0.7693426410703897,0.0008172249451654952,0.9828571428571429,0.9980657640232108,0.9904030710172744,0.0014153168737222833,1
topology_heldout_33_to_69,42,LinDistFlow physical backbone,none,0.0009446685880333677,0.0015329329494162666,0.007279075935570312,,,1.0,0.95625,0.9776357827476039,0.0,56
topology_heldout_33_to_69,42,Random forest,none,0.000525326589475651,0.0009270310303188168,0.01841480354290037,,,1.0,0.98984375,0.9948959560266981,0.0,13
topology_heldout_33_to_69,42,Gradient boosting,none,0.0006506696076829536,0.0013379582035514177,0.023559742400910855,,,1.0,0.99375,0.9968652037617555,0.0,8
topology_heldout_33_to_69,42,Boosting point + global conformal,global,0.0006506696076829536,0.0013379582035514177,0.023559742400910855,0.8900966183574879,0.002751801053979789,0.9808429118773946,1.0,0.9903288201160542,0.002244165170556553,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,global,0.0004900284203636513,0.0006985309477278209,0.0037885969318358637,0.8794685990338165,0.0019860255686188323,0.9891724671307038,0.99921875,0.994170229304314,0.0012567324955116697,1
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,pv_conditioned,0.0004900284203636513,0.0006985309477278209,0.0037885969318358637,0.8665056360708535,0.0020099162451723503,0.9907120743034056,1.0,0.995334370139969,0.0010771992818671453,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,topology_conditioned,0.0004900284203636513,0.0006985309477278209,0.0037885969318358637,0.8794685990338165,0.0019860255686188323,0.9891724671307038,0.99921875,0.994170229304314,0.0012567324955116697,1
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.0004900284203636513,0.0006985309477278209,0.0037885969318358637,0.8947665056360709,0.002061685399603123,0.9907120743034056,1.0,0.995334370139969,0.0010771992818671453,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.0004900284203636513,0.0006985309477278209,0.0037885969318358637,0.8946859903381642,0.002093031146655014,0.9891808346213292,1.0,0.9945609945609946,0.0012567324955116697,0
