split_name,seed,method,conformal_variant,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,curtailment_rate,flexible_load_relief_scenarios,missed_risky_scenarios
pv_penetration_shift,42,VoltGuard topology-aware residual,global,405.8250824885048,405.8250824885048,0.0,31.38572755379886,0.0,75,0
pv_penetration_shift,42,VoltGuard topology-aware residual,pv_conditioned,405.8250824885048,405.8250824885048,0.0,31.38572755379886,0.0,75,0
pv_penetration_shift,42,VoltGuard topology-aware residual,topology_conditioned,405.8250824885048,405.8250824885048,0.0,31.38572755379886,0.0,75,0
pv_penetration_shift,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,405.8250824885048,405.8250824885048,0.0,31.38572755379886,0.0,75,0
pv_penetration_shift,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,405.8250824885048,405.8250824885048,0.0,31.38572755379886,0.0,75,0
topology_heldout_33_to_69,42,Boosting point + global conformal,global,350.19521361313764,350.19521361313764,0.0,64.28143627578164,0.0,164,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,global,350.19521361313764,350.19521361313764,0.0,64.28143627578164,0.0,164,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,pv_conditioned,350.19521361313764,350.19521361313764,0.0,64.28143627578164,0.0,164,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,topology_conditioned,350.19521361313764,350.19521361313764,0.0,64.28143627578164,0.0,164,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,topology_pv_loading_conditioned,350.19521361313764,350.19521361313764,0.0,64.28143627578164,0.0,164,0
topology_heldout_33_to_69,42,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,350.19521361313764,350.19521361313764,0.0,64.28143627578164,0.0,164,0
supplementary_118_random,7,Boosting point + global conformal,global,143861.94930602988,129475.75437542687,14386.19493060299,27077.11598477267,0.1,60,0
supplementary_118_random,7,VoltGuard topology-aware residual,global,143861.94930602988,129475.75437542687,14386.19493060299,27077.11598477267,0.1,60,0
supplementary_118_random,7,VoltGuard topology-aware residual,pv_conditioned,143861.94930602988,129475.75437542687,14386.19493060299,27077.11598477267,0.1,60,0
supplementary_118_random,7,VoltGuard topology-aware residual,topology_conditioned,143861.94930602988,129475.75437542687,14386.19493060299,27077.11598477267,0.1,60,0
supplementary_118_random,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,143861.94930602988,129475.75437542687,14386.19493060299,27077.11598477267,0.1,60,0
supplementary_118_random,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,143861.94930602988,129475.75437542687,14386.19493060299,27077.11598477267,0.1,60,0
